X,Y,OBJECTID,GlobalID,CreationDate,Creator,EditDate,Editor,case_number,crime_category,crime_code,crime_description,crime_type,reported_block_address,city_of_incident,city,district,reported_date,reported_year,reported_month,reported_day,reported_hour,reported_dayofwk,latitude,longitude,agency,updated_date
-78.648732426,35.88294375,529661,e3a58624-934a-48a5-91c9-34a464072ff6,2020/02/18 20:14:01.341+00,RaleighGIS,2020/02/18 20:14:01.341+00,RaleighGIS,P20009281,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,200 BLOCK HORIZON DR,RALEIGH,RALEIGH,North,2020/02/17 15:10:00+00,2020,2,17,10,Monday,35.88294375,-78.648732426,RPD,2020/02/17 22:05:22.510+00
-78.6291618339999,35.8684520040001,529663,3dfbd9d3-5a94-46e2-b7af-a9ec6286a2e4,2020/02/18 20:14:01.341+00,RaleighGIS,2020/02/18 20:14:01.341+00,RaleighGIS,P20009271,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,6600 BLOCK THE LAKES DR,RALEIGH,RALEIGH,North,2020/02/17 14:01:00+00,2020,2,17,9,Monday,35.8684520040001,-78.6291618339999,RPD,2020/02/17 22:05:00.313+00
-78.647202916,35.787537613,529730,1a8cdcd5-d455-4b4c-99d7-40dda7462f94,2020/02/19 11:44:54.538+00,RaleighGIS,2020/02/19 11:44:54.538+00,RaleighGIS,P20009406,DISORDERLY CONDUCT,70E,Disorderly Conduct/Resist-Delay-Obstruct Officer,,600 BLOCK GLENWOOD AVE,RALEIGH,RALEIGH,Downtown,2020/02/18 06:13:00+00,2020,2,18,1,Tuesday,35.787537613,-78.647202916,RPD,2020/02/18 15:51:07.809+00
-78.647202916,35.787537613,529731,e8fd99bf-c991-4f1d-9743-6d0e8a094010,2020/02/19 11:44:54.538+00,RaleighGIS,2020/02/19 11:44:54.538+00,RaleighGIS,P20009406,ASSAULT,25E,Assault/Simple,CRIMES AGAINST PERSONS,600 BLOCK GLENWOOD AVE,RALEIGH,RALEIGH,Downtown,2020/02/18 06:13:00+00,2020,2,18,1,Tuesday,35.787537613,-78.647202916,RPD,2020/02/18 15:51:07.809+00
-78.626013347,35.772766507,529733,adafad3c-9e84-4eaa-b095-f7e3fb7353b8,2020/02/19 11:44:54.538+00,RaleighGIS,2020/02/19 11:44:54.538+00,RaleighGIS,P20009409,LARCENY FROM MV,35F,Larceny/Theft from Motor Vehicle,CRIMES AGAINST PROPERTY,500 BLOCK MONTAGUE LN,RALEIGH,RALEIGH,Southeast,2020/02/18 08:45:00+00,2020,2,18,3,Tuesday,35.772766507,-78.626013347,RPD,2020/02/18 22:50:53.027+00
-78.643787249,35.7506751780001,529741,ea117a66-5065-40d9-93a1-ac8bc72289af,2020/02/19 11:44:54.538+00,RaleighGIS,2020/02/19 11:44:54.538+00,RaleighGIS,P20009414,LARCENY FROM MV,35F,Larceny/Theft from Motor Vehicle,CRIMES AGAINST PROPERTY,2400 BLOCK RENFROW RD,RALEIGH,RALEIGH,Downtown,2020/02/18 11:06:00+00,2020,2,18,6,Tuesday,35.7506751780001,-78.643787249,RPD,2020/02/18 20:25:51.023+00
-78.696854452,35.753261894,529742,5b20c49c-4ec5-4ec1-9ad9-a5a96e5469c7,2020/02/19 11:44:54.538+00,RaleighGIS,2020/02/19 11:44:54.538+00,RaleighGIS,P20009413,LARCENY FROM MV,35F,Larceny/Theft from Motor Vehicle,CRIMES AGAINST PROPERTY,3500 BLOCK CUM LAUDE CT,RALEIGH,RALEIGH,Southwest,2020/02/18 09:00:00+00,2020,2,18,4,Tuesday,35.753261894,-78.696854452,RPD,2020/02/19 05:17:04.833+00
-78.8077399109999,35.906124586,529747,cb97c552-546f-4543-a59c-6ac7d1ff9ca4,2020/02/19 11:44:54.538+00,RaleighGIS,2020/02/19 11:44:54.538+00,RaleighGIS,P20009426,LARCENY FROM MV,35F,Larceny/Theft from Motor Vehicle,CRIMES AGAINST PROPERTY,2000 BLOCK KEDVALE AVE,RALEIGH,RALEIGH,Northwest,2020/02/18 12:40:00+00,2020,2,18,7,Tuesday,35.906124586,-78.8077399109999,RPD,2020/02/18 20:23:28.809+00
-78.8118700379999,35.8971460330001,529748,181906b4-6cb5-4f5d-a82c-3d589332e509,2020/02/19 11:44:54.538+00,RaleighGIS,2020/02/19 11:44:54.538+00,RaleighGIS,P20009421,BURGLARY/RESIDENTIAL,30B,Burglary/Residential,CRIMES AGAINST PROPERTY,10800 BLOCK BEECH VALLEY CT,RALEIGH,RALEIGH,Northwest,2020/02/18 12:09:00+00,2020,2,18,7,Tuesday,35.8971460330001,-78.8118700379999,RPD,2020/02/19 06:28:23.550+00
-78.558180305,35.898766756,529759,fc3bd47b-3e3d-4451-8df6-15ef4002f9df,2020/02/19 11:44:54.538+00,RaleighGIS,2020/02/19 11:44:54.538+00,RaleighGIS,P20009449,DRUGS,54C,Drug Violation/Felony,CRIMES AGAINST SOCIETY,4800 BLOCK THORNTON RD,WAKE COUNTY,RALEIGH,Northeast,2020/02/18 14:14:00+00,2020,2,18,9,Tuesday,35.898766756,-78.558180305,RPD,2020/02/18 20:29:13.853+00
-78.575370146,35.852574847,529761,26f08769-2702-4b66-ac83-288498745764,2020/02/19 11:44:54.538+00,RaleighGIS,2020/02/19 11:44:54.538+00,RaleighGIS,P20009438,ALL OTHER OFFENSES,80A,All Other/All Other Offenses,,4900 BLOCK HOLLENDEN DR,RALEIGH,RALEIGH,Northeast,2020/02/18 13:59:00+00,2020,2,18,8,Tuesday,35.852574847,-78.575370146,RPD,2020/02/18 20:24:48.769+00
-78.5821470829999,35.7243332470001,529762,9b171070-728b-4b8c-859f-d0d4e9459940,2020/02/19 11:44:54.538+00,RaleighGIS,2020/02/19 11:44:54.538+00,RaleighGIS,P20009433,VANDALISM,80B,All Other/Damage to Property (minor),,4100 BLOCK JONES SAUSAGE RD,WAKE COUNTY,RALEIGH,Southeast,2020/02/18 12:57:00+00,2020,2,18,7,Tuesday,35.7243332470001,-78.5821470829999,RPD,2020/02/18 19:27:13.937+00
-78.656696648,35.7458213140001,529764,9acf757c-c161-4a22-963c-19c02a56f6fd,2020/02/19 11:44:54.538+00,RaleighGIS,2020/02/19 11:44:54.538+00,RaleighGIS,P20009461,ASSAULT,25E,Assault/Simple,CRIMES AGAINST PERSONS,800 BLOCK SUFFOLK BLVD,RALEIGH,RALEIGH,Southwest,2020/02/18 15:13:00+00,2020,2,18,10,Tuesday,35.7458213140001,-78.656696648,RPD,2020/02/18 22:59:35.153+00
-78.6563415,35.7901999420001,529766,bfd06f87-7605-4261-8d55-f1e9fd72f465,2020/02/19 11:44:54.538+00,RaleighGIS,2020/02/19 11:44:54.538+00,RaleighGIS,P20009467,MV THEFT,40A,Motor Vehicle Theft,CRIMES AGAINST PROPERTY,700 BLOCK SMALLWOOD DR,RALEIGH,RALEIGH,Southwest,2020/02/18 14:54:00+00,2020,2,18,9,Tuesday,35.7901999420001,-78.6563414999999,RPD,2020/02/18 23:00:49.137+00
-78.565861735,35.749342663,529767,1204e1eb-8c5a-4bad-a405-907dc612a071,2020/02/19 11:44:54.538+00,RaleighGIS,2020/02/19 11:44:54.538+00,RaleighGIS,P20009459,VANDALISM,80B,All Other/Damage to Property (minor),,2500 BLOCK BLUFFS VIEW DR,RALEIGH,RALEIGH,Southeast,2020/02/18 15:13:00+00,2020,2,18,10,Tuesday,35.7493426630001,-78.5658617349999,RPD,2020/02/18 22:22:46.110+00
-78.678143765,35.781825327,529770,fd3d605c-5800-415d-ae90-d05cee4075bf,2020/02/19 11:44:54.538+00,RaleighGIS,2020/02/19 11:44:54.538+00,RaleighGIS,P20009455,DRUGS,54C,Drug Violation/Felony,CRIMES AGAINST SOCIETY,3000 BLOCK WESTERN BLVD,RALEIGH,RALEIGH,Southwest,2020/02/18 15:25:00+00,2020,2,18,10,Tuesday,35.781825327,-78.678143765,RPD,2020/02/18 22:21:34.293+00
-78.678143765,35.781825327,529771,99066295-61ae-4a22-88a5-ca45f00476d2,2020/02/19 11:44:54.538+00,RaleighGIS,2020/02/19 11:44:54.538+00,RaleighGIS,P20009455,DRUG VIOLATIONS,54Z,Drug Equipment/Paraphernalia,CRIMES AGAINST SOCIETY,3000 BLOCK WESTERN BLVD,RALEIGH,RALEIGH,Southwest,2020/02/18 15:25:00+00,2020,2,18,10,Tuesday,35.781825327,-78.678143765,RPD,2020/02/18 22:21:34.293+00
-78.624826184,35.775224548,529773,c0f73e32-376c-418c-bd52-44a61cda7591,2020/02/19 11:44:54.538+00,RaleighGIS,2020/02/19 11:44:54.538+00,RaleighGIS,P20009428,DRUGS,54D,Drug Violation/Misdemeanor,CRIMES AGAINST SOCIETY,900 BLOCK E DAVIE ST,RALEIGH,RALEIGH,Southeast,2020/02/18 13:20:00+00,2020,2,18,8,Tuesday,35.775224548,-78.624826184,RPD,2020/02/18 20:28:53.607+00
-78.578792661,35.765412887,529774,986d6d69-07f9-436c-ab92-8cecad792eea,2020/02/19 11:44:54.538+00,RaleighGIS,2020/02/19 11:44:54.538+00,RaleighGIS,P20009425,VANDALISM,80B,All Other/Damage to Property (minor),,3400 BLOCK MIDDLE BRANCH RD,RALEIGH,RALEIGH,Southeast,2020/02/18 12:57:00+00,2020,2,18,7,Tuesday,35.765412887,-78.578792661,RPD,2020/02/18 22:58:03.267+00
-78.6957884,35.7545327710001,570031,2f17e263-3b34-4c07-b377-cbe4aba65ca1,2020/02/19 11:44:54.538+00,RaleighGIS,2020/02/19 11:44:54.538+00,RaleighGIS,P20009445,LARCENY FROM MV,35F,Larceny/Theft from Motor Vehicle,CRIMES AGAINST PROPERTY,3500 BLOCK CUM LAUDE CT,RALEIGH,RALEIGH,Southwest,2020/02/18 14:00:00+00,2020,2,18,9,Tuesday,35.7545327710001,-78.6957884,RPD,2020/02/18 22:58:59.097+00
-78.606905964,35.8382865570001,570040,98fb85d7-4db7-4dfa-a34d-297d70d9e797,2020/02/19 11:44:54.538+00,RaleighGIS,2020/02/19 11:44:54.538+00,RaleighGIS,P20009498,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,1600 BLOCK RONALD DR,RALEIGH,RALEIGH,North,2020/02/18 18:15:00+00,2020,2,18,13,Tuesday,35.8382865570001,-78.606905964,RPD,2020/02/18 20:59:09.687+00
-78.675421381,35.744034126,570041,8154add1-ea45-4f84-8501-fd2394c48f48,2020/02/19 11:44:54.538+00,RaleighGIS,2020/02/19 11:44:54.538+00,RaleighGIS,P20009502,BURGLARY/RESIDENTIAL,30B,Burglary/Residential,CRIMES AGAINST PROPERTY,2700 BLOCK STEWART DR,RALEIGH,RALEIGH,Southwest,2020/02/18 19:02:00+00,2020,2,18,14,Tuesday,35.744034126,-78.675421381,RPD,2020/02/18 22:11:13.283+00
-78.6563415,35.7901999420001,570055,4122d148-a8ed-408b-abe6-4ede0930cfab,2020/02/19 11:44:54.538+00,RaleighGIS,2020/02/19 11:44:54.538+00,RaleighGIS,P20009467,VANDALISM,80B,All Other/Damage to Property (minor),,700 BLOCK SMALLWOOD DR,RALEIGH,RALEIGH,Southwest,2020/02/18 14:54:00+00,2020,2,18,9,Tuesday,35.7901999420001,-78.6563414999999,RPD,2020/02/18 23:00:49.137+00
-78.6274790429999,35.7765351890001,570056,a868b674-7287-4494-958c-4edb97178c51,2020/02/19 11:44:54.538+00,RaleighGIS,2020/02/19 11:44:54.538+00,RaleighGIS,P20009472,DRUGS,54D,Drug Violation/Misdemeanor,CRIMES AGAINST SOCIETY,700 BLOCK E MARTIN ST,RALEIGH,RALEIGH,Southeast,2020/02/18 16:52:00+00,2020,2,18,11,Tuesday,35.7765351890001,-78.6274790429999,RPD,2020/02/19 01:11:38.980+00
-78.568958815,35.9238010940001,570058,0e32d184-1a71-4bf5-9f0e-3e312769db3b,2020/02/19 11:44:54.538+00,RaleighGIS,2020/02/19 11:44:54.538+00,RaleighGIS,P20009501,DRUG VIOLATIONS,54Z,Drug Equipment/Paraphernalia,CRIMES AGAINST SOCIETY,2100 BLOCK PINEY BROOK RD,RALEIGH,RALEIGH,Northeast,2020/02/18 18:54:00+00,2020,2,18,13,Tuesday,35.9238010940001,-78.568958815,RPD,2020/02/18 21:07:05.707+00
-78.793761139,35.896654713,570060,dc40b59b-2f9a-41ec-8bad-1c00d4bd2ec1,2020/02/19 11:44:54.538+00,RaleighGIS,2020/02/19 11:44:54.538+00,RaleighGIS,P20009512,BURGLARY/RESIDENTIAL,30B,Burglary/Residential,CRIMES AGAINST PROPERTY,10000 BLOCK PINEVILLE RD,RALEIGH,RALEIGH,Northwest,2020/02/18 19:14:00+00,2020,2,18,14,Tuesday,35.896654713,-78.793761139,RPD,2020/02/19 06:27:38.920+00
-78.582196246,35.835311528,570065,706fe210-e5bc-4634-a7e6-4f5bc6f088f9,2020/02/19 11:44:54.538+00,RaleighGIS,2020/02/19 11:44:54.538+00,RaleighGIS,P20009537,VANDALISM,80B,All Other/Damage to Property (minor),,4000 BLOCK CAPITAL BLVD,RALEIGH,RALEIGH,Northeast,2020/02/18 20:30:00+00,2020,2,18,15,Tuesday,35.835311528,-78.582196246,RPD,2020/02/18 21:13:03.707+00
-78.7389759169999,35.88313566,570069,e1c7eed7-ee1f-47ca-80be-1e7dab8ca0d3,2020/02/19 11:44:54.538+00,RaleighGIS,2020/02/19 11:44:54.538+00,RaleighGIS,P20009550,MV THEFT,40A,Motor Vehicle Theft,CRIMES AGAINST PROPERTY,8500 BLOCK GLENWOOD AVE,RALEIGH,RALEIGH,Northwest,2020/02/18 21:41:00+00,2020,2,18,16,Tuesday,35.8831356600001,-78.7389759169999,RPD,2020/02/19 02:02:43.057+00
-78.682344616,35.788891015,570070,e3ca78be-181e-446d-9ca2-212220293cd3,2020/02/19 11:44:54.538+00,RaleighGIS,2020/02/19 11:44:54.538+00,RaleighGIS,P20009551,HUMANE,82J,Humane/Chemical Deployment,,600 BLOCK MOTOR POOL ST,RALEIGH,RALEIGH,Southwest,2020/02/18 22:08:00+00,2020,2,18,17,Tuesday,35.788891015,-78.682344616,RPD,2020/02/19 02:41:04.409+00
-78.5130369119999,35.877294449,570071,784c79fc-9417-4378-868c-c45ad4eb8917,2020/02/19 11:44:54.538+00,RaleighGIS,2020/02/19 11:44:54.538+00,RaleighGIS,P20009553,HUMANE,82J,Humane/Chemical Deployment,,3400 BLOCK PRITCHARD CT,RALEIGH,RALEIGH,Northeast,2020/02/18 21:41:00+00,2020,2,18,16,Tuesday,35.877294449,-78.513036912,RPD,2020/02/19 03:14:30.769+00
-78.727955486,35.753651494,570072,49971dab-6e04-4996-bca3-36afb091b33f,2020/02/19 11:44:54.538+00,RaleighGIS,2020/02/19 11:44:54.538+00,RaleighGIS,P20009558,ASSAULT,25E,Assault/Simple,CRIMES AGAINST PERSONS,1800 BLOCK VIENNA WOODS DR,RALEIGH,RALEIGH,Southwest,2020/02/18 20:28:00+00,2020,2,18,15,Tuesday,35.7536514940001,-78.727955486,RPD,2020/02/19 05:16:22.800+00
-78.549072525,35.7237721320001,570076,bb656d32-2a2c-4ed3-a78e-292f2ba6b02a,2020/02/19 11:44:54.538+00,RaleighGIS,2020/02/19 11:44:54.538+00,RaleighGIS,P20009594,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,6200 BLOCK ROCK QUARRY RD,WAKE COUNTY,RALEIGH,Southeast,2020/02/19 02:39:00+00,2020,2,18,21,Tuesday,35.7237721320001,-78.549072525,RPD,2020/02/19 10:21:18.393+00
-78.587874508,35.788000823,570077,c51ced61-2f28-46ae-843e-b9dc91e7d10a,2020/02/19 11:44:54.538+00,RaleighGIS,2020/02/19 11:44:54.538+00,RaleighGIS,P20009595,LARCENY FROM MV,35F,Larceny/Theft from Motor Vehicle,CRIMES AGAINST PROPERTY,3100 BLOCK NEW BERN AVE,RALEIGH,RALEIGH,Southeast,2020/02/19 02:44:00+00,2020,2,18,21,Tuesday,35.7880008230001,-78.587874508,RPD,2020/02/19 04:20:03.129+00
-78.6473544139999,35.784664225,570095,f04d3d49-f8a9-4cfb-8823-8e1bec577ec9,2020/02/19 11:44:54.538+00,RaleighGIS,2020/02/19 11:44:54.538+00,RaleighGIS,P20009559,LARCENY,35D,Larceny/Theft from Building,CRIMES AGAINST PROPERTY,300 BLOCK GLENWOOD AVE,RALEIGH,RALEIGH,Downtown,2020/02/18 22:43:00+00,2020,2,18,17,Tuesday,35.784664225,-78.6473544139999,RPD,2020/02/19 07:33:05.447+00
-78.6394584389999,35.7736202850001,570096,cba3f70a-14bb-47c9-97c3-2366d7cb2ca4,2020/02/19 11:44:54.538+00,RaleighGIS,2020/02/19 11:44:54.538+00,RaleighGIS,P20009577,ASSAULT,25F,Assault/Intimidation-Communicating Threats,CRIMES AGAINST PERSONS,500 BLOCK FAYETTEVILLE ST,RALEIGH,RALEIGH,Downtown,2020/02/19 00:51:00+00,2020,2,18,19,Tuesday,35.7736202850001,-78.639458439,RPD,2020/02/19 10:37:33.760+00
-78.733867166,35.7848854810001,570207,99475944-9523-4a04-b271-f84e11b57bde,2020/02/21 05:00:51.966+00,RaleighGIS,2020/02/21 05:00:51.966+00,RaleighGIS,P20009795,ALL OTHER OFFENSES,80A,All Other/All Other Offenses,,400 BLOCK WOLF VIEW DR,RALEIGH,RALEIGH,Southwest,2020/02/20 05:17:00+00,2020,2,20,0,Thursday,35.7848854810001,-78.733867166,RPD,2020/02/20 19:33:44.613+00
-78.576800914,35.7978614470001,570214,22f47273-f21b-4127-b2fe-bb8a03bdec1f,2020/02/21 05:00:51.966+00,RaleighGIS,2020/02/21 05:00:51.966+00,RaleighGIS,P20009808,ASSAULT,25E,Assault/Simple,CRIMES AGAINST PERSONS,3700 BLOCK NEW BERN AVE,RALEIGH,RALEIGH,Northeast,2020/02/20 06:51:00+00,2020,2,20,1,Thursday,35.7978614470001,-78.576800914,RPD,2020/02/20 20:43:14.783+00
-78.802870733,35.9100931180001,570217,dafbab51-428a-4cfb-8fdd-59870e212d9d,2020/02/21 05:00:51.966+00,RaleighGIS,2020/02/21 05:00:51.966+00,RaleighGIS,P20009814,WEAPONS VIOLATION,51C,Weapons/Shots Fired,CRIMES AGAINST SOCIETY,11300 BLOCK EMPIRE LAKES DR,RALEIGH,RALEIGH,Northwest,2020/02/20 09:06:00+00,2020,2,20,4,Thursday,35.9100931180001,-78.802870733,RPD,2020/02/20 16:35:37.667+00
-78.612196435,35.8053929230001,570229,9110453f-463e-4ead-a8ef-ca063d90c84a,2020/02/21 05:00:51.966+00,RaleighGIS,2020/02/21 05:00:51.966+00,RaleighGIS,P20009845,ASSAULT,25E,Assault/Simple,CRIMES AGAINST PERSONS,2400 BLOCK CRABTREE BLVD,RALEIGH,RALEIGH,Southeast,2020/02/20 14:53:00+00,2020,2,20,9,Thursday,35.8053929230001,-78.612196435,RPD,2020/02/20 23:22:23.517+00
-78.612196435,35.8053929230001,570230,6714edf1-1dc8-4a1a-b5b5-dcd5561ab0e9,2020/02/21 05:00:51.966+00,RaleighGIS,2020/02/21 05:00:51.966+00,RaleighGIS,P20009845,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,2400 BLOCK CRABTREE BLVD,RALEIGH,RALEIGH,Southeast,2020/02/20 14:53:00+00,2020,2,20,9,Thursday,35.8053929230001,-78.612196435,RPD,2020/02/20 23:22:23.517+00
-78.601827423,35.836884345,570526,30249d24-a766-4c6c-a926-f61b24122113,2020/02/24 05:00:41.723+00,RaleighGIS,2020/02/24 05:00:41.723+00,RaleighGIS,P20010300,ASSAULT,25E,Assault/Simple,CRIMES AGAINST PERSONS,4000 BLOCK ATLANTIC AVE,RALEIGH,RALEIGH,North,2020/02/23 09:02:00+00,2020,2,23,4,Sunday,35.836884345,-78.601827423,RPD,2020/02/23 11:12:59.267+00
-78.6012229309999,35.811961846,570539,1f7a7fb2-0d5a-4d3e-a808-fd4512c6ef5e,2020/02/24 05:00:41.723+00,RaleighGIS,2020/02/24 05:00:41.723+00,RaleighGIS,P20010323,FRAUD,56A,Fraud/False Pretense or Swindle,CRIMES AGAINST PROPERTY,2600 BLOCK APPLIANCE CT,RALEIGH,RALEIGH,Northeast,2020/02/23 14:13:00+00,2020,2,23,9,Sunday,35.811961846,-78.6012229309999,RPD,2020/02/24 00:56:07.363+00
-78.629309749,35.774580308,570562,72a3ee3d-371a-423f-86d1-26d997b7a9fe,2020/02/24 05:00:41.723+00,RaleighGIS,2020/02/24 05:00:41.723+00,RaleighGIS,P20010377,BURGLARY/RESIDENTIAL,30B,Burglary/Residential,CRIMES AGAINST PROPERTY,400 BLOCK S SWAIN ST,RALEIGH,RALEIGH,Downtown,2020/02/23 20:28:00+00,2020,2,23,15,Sunday,35.7745803080001,-78.629309749,RPD,2020/02/23 23:03:35.380+00
-78.594350447,35.8161643280001,570575,cb37c1f1-2f9f-4403-8cf1-e8cdd2a279c1,2020/02/24 05:00:41.723+00,RaleighGIS,2020/02/24 05:00:41.723+00,RaleighGIS,P20010409,LARCENY FROM MV,35F,Larceny/Theft from Motor Vehicle,CRIMES AGAINST PROPERTY,3000 BLOCK STONYBROOK DR,RALEIGH,RALEIGH,Northeast,2020/02/23 21:51:00+00,2020,2,23,16,Sunday,35.8161643280001,-78.594350447,RPD,2020/02/24 00:47:07.809+00
-78.576545836,35.7678527030001,570697,c7c078b6-1529-432d-9062-d3160d090deb,2020/02/25 05:00:04.153+00,RaleighGIS,2020/02/25 05:00:04.153+00,RaleighGIS,P20010458,DRUGS,54D,Drug Violation/Misdemeanor,CRIMES AGAINST SOCIETY,3600 BLOCK POOLE RD,RALEIGH,RALEIGH,Southeast,2020/02/24 05:40:00+00,2020,2,24,0,Monday,35.7678527030001,-78.576545836,RPD,2020/02/24 22:15:13.160+00
-78.576545836,35.7678527030001,570698,3bdf9560-805d-431c-a75b-b73b1cd1e0a1,2020/02/25 05:00:04.153+00,RaleighGIS,2020/02/25 05:00:04.153+00,RaleighGIS,P20010458,MV THEFT,40A,Motor Vehicle Theft,CRIMES AGAINST PROPERTY,3600 BLOCK POOLE RD,RALEIGH,RALEIGH,Southeast,2020/02/24 05:40:00+00,2020,2,24,0,Monday,35.7678527030001,-78.576545836,RPD,2020/02/24 22:15:13.160+00
-78.693133417,35.7509732510001,570699,98a74ffb-f04d-4d55-8593-e2a41e2858a9,2020/02/25 05:00:04.153+00,RaleighGIS,2020/02/25 05:00:04.153+00,RaleighGIS,P20010459,BURGLARY/COMMERCIAL,30A,Burglary/Commercial or Non-Residential,CRIMES AGAINST PROPERTY,3300 BLOCK MELROSE CLUB BLVD,RALEIGH,RALEIGH,Southwest,2020/02/24 05:36:00+00,2020,2,24,0,Monday,35.7509732510001,-78.693133417,RPD,2020/02/24 22:18:03.763+00
